order_id,website_session_id,user_id,session_creation,order_creation,duration(mins),is_repeat_session,utm_source,utm_campaign,utm_content,device_type
1,20,20,2012-03-19 10:22,2012-03-19 10:42,20,0,gsearch,nonbrand,g_ad_1,desktop
2,104,104,2012-03-19 19:14,2012-03-19 19:27,13,0,gsearch,nonbrand,g_ad_1,desktop
3,147,147,2012-03-20 06:21,2012-03-20 06:44,23,0,gsearch,nonbrand,g_ad_1,desktop
4,160,160,2012-03-20 09:23,2012-03-20 09:41,18,0,gsearch,nonbrand,g_ad_1,desktop
5,177,177,2012-03-20 11:15,2012-03-20 11:28,13,0,gsearch,nonbrand,g_ad_1,desktop
6,232,232,2012-03-20 15:54,2012-03-20 16:12,18,0,gsearch,nonbrand,g_ad_1,desktop
7,241,241,2012-03-20 16:46,2012-03-20 17:03,17,0,gsearch,nonbrand,g_ad_1,desktop
8,295,295,2012-03-20 23:23,2012-03-20 23:35,12,0,gsearch,nonbrand,g_ad_1,desktop
9,304,304,2012-03-21 02:16,2012-03-21 02:35,19,0,gsearch,nonbrand,g_ad_1,desktop
10,317,317,2012-03-21 06:30,2012-03-21 06:45,15,0,gsearch,nonbrand,g_ad_1,mobile
11,321,321,2012-03-21 07:11,2012-03-21 07:28,17,0,gsearch,nonbrand,g_ad_1,mobile
12,327,327,2012-03-21 07:58,2012-03-21 08:21,23,0,gsearch,nonbrand,g_ad_1,desktop
13,332,332,2012-03-21 08:29,2012-03-21 08:45,16,0,gsearch,nonbrand,g_ad_1,desktop
14,336,336,2012-03-21 08:56,2012-03-21 09:12,16,0,gsearch,nonbrand,g_ad_1,desktop
15,428,428,2012-03-21 16:23,2012-03-21 16:40,17,0,gsearch,nonbrand,g_ad_1,desktop
16,434,434,2012-03-21 16:51,2012-03-21 17:13,22,0,gsearch,nonbrand,g_ad_1,desktop
17,465,465,2012-03-21 20:08,2012-03-21 20:28,20,0,gsearch,nonbrand,g_ad_1,mobile
18,507,507,2012-03-22 06:02,2012-03-22 06:15,13,0,gsearch,nonbrand,g_ad_1,desktop
19,536,536,2012-03-22 09:47,2012-03-22 10:03,16,0,gsearch,nonbrand,g_ad_1,desktop
20,615,615,2012-03-22 17:30,2012-03-22 17:49,19,0,gsearch,nonbrand,g_ad_1,desktop
21,639,639,2012-03-22 20:10,2012-03-22 20:33,23,0,gsearch,nonbrand,g_ad_1,desktop
22,732,732,2012-03-23 11:52,2012-03-23 12:09,17,0,gsearch,nonbrand,g_ad_1,desktop
23,750,750,2012-03-23 13:58,2012-03-23 14:16,18,0,gsearch,nonbrand,g_ad_1,desktop
24,783,783,2012-03-23 16:54,2012-03-23 17:14,20,0,gsearch,nonbrand,g_ad_1,desktop
25,844,844,2012-03-24 09:09,2012-03-24 09:21,12,0,gsearch,nonbrand,g_ad_1,mobile
26,908,908,2012-03-25 08:15,2012-03-25 08:32,17,0,gsearch,nonbrand,g_ad_1,desktop
27,909,909,2012-03-25 08:33,2012-03-25 08:51,18,0,gsearch,nonbrand,g_ad_1,desktop
28,940,940,2012-03-25 15:43,2012-03-25 16:00,17,0,gsearch,nonbrand,g_ad_1,mobile
29,954,954,2012-03-25 21:04,2012-03-25 21:23,19,0,gsearch,nonbrand,g_ad_1,desktop
30,1018,1016,2012-03-26 09:49,2012-03-26 10:03,14,0,gsearch,nonbrand,g_ad_1,desktop
31,1023,1021,2012-03-26 10:07,2012-03-26 10:25,18,0,gsearch,nonbrand,g_ad_1,desktop
32,1059,1055,2012-03-26 13:51,2012-03-26 14:13,22,0,gsearch,nonbrand,g_ad_1,desktop
33,1081,1077,2012-03-26 15:45,2012-03-26 16:00,15,0,gsearch,nonbrand,g_ad_1,mobile
34,1094,1090,2012-03-26 17:31,2012-03-26 17:55,24,0,gsearch,nonbrand,g_ad_1,desktop
35,1098,1094,2012-03-26 17:48,2012-03-26 18:06,18,0,gsearch,nonbrand,g_ad_1,desktop
36,1105,1101,2012-03-26 18:38,2012-03-26 18:54,16,0,gsearch,nonbrand,g_ad_1,desktop
37,1107,1103,2012-03-26 18:58,2012-03-26 19:19,21,0,gsearch,nonbrand,g_ad_1,desktop
38,1125,1121,2012-03-26 20:56,2012-03-26 21:13,17,0,gsearch,nonbrand,g_ad_1,mobile
39,1243,1238,2012-03-27 15:02,2012-03-27 15:18,16,0,gsearch,nonbrand,g_ad_1,desktop
40,1256,1251,2012-03-27 16:38,2012-03-27 16:53,15,0,gsearch,nonbrand,g_ad_1,desktop
41,1330,1325,2012-03-28 08:19,2012-03-28 08:30,11,0,gsearch,nonbrand,g_ad_1,desktop
42,1343,1337,2012-03-28 09:44,2012-03-28 09:56,12,0,gsearch,nonbrand,g_ad_1,desktop
43,1419,1412,2012-03-28 16:44,2012-03-28 16:55,11,0,gsearch,nonbrand,g_ad_1,mobile
44,1454,1447,2012-03-28 21:02,2012-03-28 21:24,22,0,gsearch,nonbrand,g_ad_1,desktop
45,1463,1456,2012-03-28 22:29,2012-03-28 22:45,16,0,gsearch,nonbrand,g_ad_1,mobile
46,1581,1574,2012-03-29 15:51,2012-03-29 16:11,20,0,gsearch,nonbrand,g_ad_1,desktop
47,1605,1598,2012-03-29 17:34,2012-03-29 17:49,15,0,gsearch,nonbrand,g_ad_1,desktop
48,1643,1635,2012-03-29 22:53,2012-03-29 23:09,16,0,gsearch,nonbrand,g_ad_1,desktop
49,1646,1638,2012-03-30 00:12,2012-03-30 00:25,13,0,gsearch,nonbrand,g_ad_1,desktop
50,1654,1646,2012-03-30 02:12,2012-03-30 02:27,15,0,gsearch,nonbrand,g_ad_1,desktop
51,1685,1677,2012-03-30 09:45,2012-03-30 10:06,21,0,gsearch,nonbrand,g_ad_1,desktop
52,1691,1683,2012-03-30 10:08,2012-03-30 10:24,16,0,gsearch,nonbrand,g_ad_1,desktop
53,1709,1701,2012-03-30 12:31,2012-03-30 12:47,16,0,gsearch,nonbrand,g_ad_1,desktop
54,1726,1718,2012-03-30 14:11,2012-03-30 14:26,15,0,gsearch,nonbrand,g_ad_1,desktop
55,1729,1721,2012-03-30 14:20,2012-03-30 14:39,19,0,gsearch,nonbrand,g_ad_1,mobile
56,1790,1782,2012-03-31 00:07,2012-03-31 00:22,15,0,gsearch,nonbrand,g_ad_1,desktop
57,1802,1794,2012-03-31 02:17,2012-03-31 02:32,15,0,gsearch,nonbrand,g_ad_1,desktop
58,1807,1799,2012-03-31 06:28,2012-03-31 06:40,12,0,gsearch,nonbrand,g_ad_1,desktop
59,1823,1815,2012-03-31 10:08,2012-03-31 10:25,17,0,gsearch,nonbrand,g_ad_1,desktop
60,1863,1855,2012-03-31 19:06,2012-03-31 19:24,18,0,gsearch,nonbrand,g_ad_1,desktop
61,1890,1882,2012-04-01 06:32,2012-04-01 06:45,13,0,gsearch,nonbrand,g_ad_1,desktop
62,1912,1902,2012-04-01 12:23,2012-04-01 12:38,15,0,gsearch,nonbrand,g_ad_1,desktop
63,1939,1929,2012-04-01 17:20,2012-04-01 17:33,13,0,gsearch,nonbrand,g_ad_1,desktop
64,1944,1934,2012-04-01 18:09,2012-04-01 18:26,17,0,gsearch,nonbrand,g_ad_1,desktop
65,2036,2025,2012-04-02 10:50,2012-04-02 11:07,17,0,gsearch,nonbrand,g_ad_1,desktop
66,2089,2076,2012-04-02 16:23,2012-04-02 16:32,9,0,gsearch,nonbrand,g_ad_1,desktop
67,2102,2089,2012-04-02 17:04,2012-04-02 17:17,13,0,gsearch,nonbrand,g_ad_1,desktop
68,2115,2102,2012-04-02 18:16,2012-04-02 18:36,20,0,gsearch,nonbrand,g_ad_1,desktop
69,2210,2196,2012-04-03 10:16,2012-04-03 10:29,13,0,gsearch,nonbrand,g_ad_1,desktop
70,2231,2217,2012-04-03 11:40,2012-04-03 11:53,13,0,gsearch,nonbrand,g_ad_1,desktop
71,2262,2247,2012-04-03 14:45,2012-04-03 15:03,18,0,gsearch,nonbrand,g_ad_1,desktop
72,2291,2276,2012-04-03 16:19,2012-04-03 16:31,12,0,gsearch,nonbrand,g_ad_1,desktop
73,2295,1752,2012-04-03 16:24,2012-04-03 16:36,12,1,gsearch,brand,g_ad_2,mobile
74,2325,2309,2012-04-03 18:50,2012-04-03 19:09,19,0,gsearch,nonbrand,g_ad_1,desktop
75,2392,2376,2012-04-04 07:33,2012-04-04 07:47,14,0,gsearch,nonbrand,g_ad_1,mobile
76,2422,2405,2012-04-04 10:56,2012-04-04 11:13,17,0,gsearch,nonbrand,g_ad_1,desktop
77,2431,2414,2012-04-04 11:20,2012-04-04 11:34,14,0,gsearch,nonbrand,g_ad_1,desktop
78,2514,2495,2012-04-04 18:01,2012-04-04 18:21,20,0,gsearch,nonbrand,g_ad_1,desktop
79,2522,2503,2012-04-04 18:41,2012-04-04 19:00,19,0,gsearch,nonbrand,g_ad_1,desktop
80,2624,383,2012-04-05 10:16,2012-04-05 10:34,18,1,NULL,NULL,NULL,mobile
81,2668,2644,2012-04-05 12:55,2012-04-05 13:15,20,0,gsearch,nonbrand,g_ad_1,desktop
82,2770,2746,2012-04-05 19:56,2012-04-05 20:11,15,0,gsearch,nonbrand,g_ad_1,mobile
83,2810,2786,2012-04-06 03:42,2012-04-06 04:04,22,0,gsearch,nonbrand,g_ad_1,desktop
84,2879,2854,2012-04-06 11:59,2012-04-06 12:16,17,0,gsearch,nonbrand,g_ad_1,desktop
85,2942,2916,2012-04-06 16:52,2012-04-06 17:13,21,0,gsearch,nonbrand,g_ad_1,mobile
86,2982,2956,2012-04-06 22:34,2012-04-06 22:48,14,0,gsearch,nonbrand,g_ad_1,desktop
87,3000,2972,2012-04-07 04:34,2012-04-07 04:47,13,0,gsearch,nonbrand,g_ad_1,desktop
88,3040,3012,2012-04-07 16:00,2012-04-07 16:15,15,0,gsearch,nonbrand,g_ad_1,desktop
89,3044,3016,2012-04-07 16:37,2012-04-07 16:55,18,0,gsearch,nonbrand,g_ad_1,desktop
90,3077,3048,2012-04-08 02:10,2012-04-08 02:25,15,0,gsearch,nonbrand,g_ad_1,desktop
91,3082,3053,2012-04-08 05:28,2012-04-08 05:52,24,0,gsearch,nonbrand,g_ad_1,desktop
92,3137,3107,2012-04-08 20:27,2012-04-08 20:50,23,0,gsearch,nonbrand,g_ad_1,desktop
93,3139,3109,2012-04-08 20:51,2012-04-08 21:10,19,0,gsearch,nonbrand,g_ad_1,desktop
94,3147,3116,2012-04-08 22:12,2012-04-08 22:33,21,0,gsearch,nonbrand,g_ad_1,desktop
96,3188,3157,2012-04-09 09:30,2012-04-09 09:50,20,0,gsearch,nonbrand,g_ad_1,desktop
95,3189,3158,2012-04-09 09:31,2012-04-09 09:49,18,0,gsearch,nonbrand,g_ad_1,desktop
97,3208,3177,2012-04-09 11:11,2012-04-09 11:25,14,0,gsearch,nonbrand,g_ad_1,desktop
98,3247,3215,2012-04-09 14:45,2012-04-09 15:01,16,0,gsearch,brand,g_ad_2,desktop
99,3295,3263,2012-04-09 19:29,2012-04-09 19:48,19,0,gsearch,nonbrand,g_ad_1,desktop
100,3299,3267,2012-04-09 20:09,2012-04-09 20:28,19,0,gsearch,nonbrand,g_ad_1,desktop
101,3318,3285,2012-04-09 22:35,2012-04-09 22:56,21,0,gsearch,nonbrand,g_ad_1,desktop
102,3322,3289,2012-04-09 23:11,2012-04-09 23:25,14,0,gsearch,nonbrand,g_ad_1,desktop
103,3421,3386,2012-04-10 14:09,2012-04-10 14:21,12,0,gsearch,nonbrand,g_ad_1,desktop
104,3446,3411,2012-04-10 16:16,2012-04-10 16:40,24,0,gsearch,nonbrand,g_ad_1,desktop
105,3496,3460,2012-04-10 22:15,2012-04-10 22:27,12,0,gsearch,nonbrand,g_ad_1,desktop
106,3604,3565,2012-04-11 13:56,2012-04-11 14:13,17,0,gsearch,nonbrand,g_ad_1,desktop
107,3618,3579,2012-04-11 15:02,2012-04-11 15:22,20,0,gsearch,nonbrand,g_ad_1,desktop
108,3642,3602,2012-04-11 16:24,2012-04-11 16:38,14,0,gsearch,nonbrand,g_ad_1,desktop
109,3683,3642,2012-04-11 20:03,2012-04-11 20:19,16,0,gsearch,nonbrand,g_ad_1,desktop
110,3689,3648,2012-04-11 21:44,2012-04-11 21:59,15,0,gsearch,nonbrand,g_ad_1,mobile
111,3746,3703,2012-04-12 09:49,2012-04-12 10:03,14,0,gsearch,nonbrand,g_ad_1,desktop
112,3765,3722,2012-04-12 10:44,2012-04-12 10:51,7,0,gsearch,nonbrand,g_ad_1,desktop
113,3789,811,2012-04-12 13:17,2012-04-12 13:30,13,1,gsearch,brand,g_ad_2,desktop
114,3807,3761,2012-04-12 15:33,2012-04-12 15:50,17,0,gsearch,nonbrand,g_ad_1,desktop
115,3873,3824,2012-04-13 01:57,2012-04-13 02:13,16,0,gsearch,nonbrand,g_ad_1,desktop
116,3947,3895,2012-04-13 14:43,2012-04-13 14:53,10,0,gsearch,nonbrand,g_ad_1,desktop
117,4100,4047,2012-04-14 23:11,2012-04-14 23:26,15,0,gsearch,nonbrand,g_ad_1,desktop
118,4119,4065,2012-04-15 08:48,2012-04-15 09:00,12,0,gsearch,nonbrand,g_ad_1,mobile
119,4130,4076,2012-04-15 13:05,2012-04-15 13:20,15,0,gsearch,nonbrand,g_ad_1,desktop
120,4136,4082,2012-04-15 14:59,2012-04-15 15:10,11,0,gsearch,nonbrand,g_ad_1,mobile
121,4140,4086,2012-04-15 16:26,2012-04-15 16:36,10,0,gsearch,nonbrand,g_ad_1,desktop
122,4224,3313,2012-04-16 13:10,2012-04-16 13:22,12,1,NULL,NULL,NULL,desktop
123,4232,4174,2012-04-16 14:36,2012-04-16 14:54,18,0,gsearch,nonbrand,g_ad_1,mobile
124,4235,4177,2012-04-16 14:45,2012-04-16 15:03,18,0,gsearch,nonbrand,g_ad_1,desktop
125,4249,4191,2012-04-16 17:40,2012-04-16 17:59,19,0,gsearch,nonbrand,g_ad_1,desktop
126,4258,167,2012-04-16 19:13,2012-04-16 19:33,20,1,NULL,NULL,NULL,mobile
127,4372,455,2012-04-17 19:04,2012-04-17 19:20,16,1,NULL,NULL,NULL,desktop
128,4420,4346,2012-04-18 10:11,2012-04-18 10:28,17,0,gsearch,nonbrand,g_ad_1,mobile
129,4437,4362,2012-04-18 11:51,2012-04-18 12:10,19,0,gsearch,nonbrand,g_ad_1,desktop
130,4490,755,2012-04-18 18:33,2012-04-18 18:51,18,1,gsearch,brand,g_ad_2,desktop
131,4501,4423,2012-04-18 19:45,2012-04-18 19:59,14,0,gsearch,nonbrand,g_ad_1,desktop
132,4531,59,2012-04-19 07:28,2012-04-19 07:42,14,1,NULL,NULL,NULL,desktop
133,4559,4474,2012-04-19 13:03,2012-04-19 13:21,18,0,gsearch,nonbrand,g_ad_1,mobile
134,4566,4480,2012-04-19 14:02,2012-04-19 14:19,17,0,gsearch,nonbrand,g_ad_1,desktop
135,4567,4481,2012-04-19 14:02,2012-04-19 14:20,18,0,gsearch,nonbrand,g_ad_1,desktop
136,4605,4519,2012-04-19 18:47,2012-04-19 19:02,15,0,gsearch,nonbrand,g_ad_1,desktop
137,4620,4533,2012-04-19 21:28,2012-04-19 21:50,22,0,gsearch,nonbrand,g_ad_1,desktop
138,4685,4590,2012-04-20 13:46,2012-04-20 14:02,16,0,gsearch,nonbrand,g_ad_1,desktop
139,4770,4674,2012-04-21 17:22,2012-04-21 17:39,17,0,gsearch,nonbrand,g_ad_1,mobile
140,4801,4704,2012-04-22 10:44,2012-04-22 11:01,17,0,gsearch,nonbrand,g_ad_1,desktop
141,4815,4718,2012-04-22 16:44,2012-04-22 16:58,14,0,gsearch,nonbrand,g_ad_1,desktop
142,4828,4728,2012-04-22 21:02,2012-04-22 21:22,20,0,gsearch,nonbrand,g_ad_1,desktop
143,4878,4774,2012-04-23 10:48,2012-04-23 11:07,19,0,gsearch,nonbrand,g_ad_1,desktop
144,4881,4777,2012-04-23 11:10,2012-04-23 11:27,17,0,gsearch,nonbrand,g_ad_1,desktop
145,4889,4785,2012-04-23 12:13,2012-04-23 12:31,18,0,gsearch,nonbrand,g_ad_1,desktop
146,4923,2368,2012-04-23 16:49,2012-04-23 17:12,23,1,NULL,NULL,NULL,desktop
147,4943,4832,2012-04-23 20:43,2012-04-23 20:59,16,0,gsearch,nonbrand,g_ad_1,desktop
148,4951,4840,2012-04-23 22:22,2012-04-23 22:39,17,0,gsearch,nonbrand,g_ad_1,desktop
149,4952,3291,2012-04-23 22:37,2012-04-23 22:57,20,1,gsearch,brand,g_ad_2,desktop
150,5054,4933,2012-04-24 19:05,2012-04-24 19:22,17,0,gsearch,nonbrand,g_ad_1,desktop
151,5065,210,2012-04-24 22:59,2012-04-24 23:13,14,1,NULL,NULL,NULL,mobile
152,5151,13,2012-04-25 20:46,2012-04-25 21:05,19,1,gsearch,brand,g_ad_2,desktop
153,5252,5116,2012-04-26 15:23,2012-04-26 15:35,12,0,gsearch,nonbrand,g_ad_1,desktop
154,5270,5134,2012-04-26 17:26,2012-04-26 17:43,17,0,gsearch,nonbrand,g_ad_1,desktop
155,5292,5154,2012-04-26 22:10,2012-04-26 22:22,12,0,gsearch,nonbrand,g_ad_1,desktop
156,5297,5158,2012-04-27 01:04,2012-04-27 01:22,18,0,gsearch,nonbrand,g_ad_1,desktop
157,5386,5243,2012-04-27 19:29,2012-04-27 19:42,13,0,gsearch,nonbrand,g_ad_1,mobile
158,5458,5312,2012-04-29 16:45,2012-04-29 16:58,13,0,gsearch,nonbrand,g_ad_1,desktop
159,5538,5387,2012-04-30 11:58,2012-04-30 12:14,16,0,gsearch,nonbrand,g_ad_1,desktop
160,5619,5461,2012-05-01 03:36,2012-05-01 03:50,14,0,gsearch,nonbrand,g_ad_1,desktop
161,5650,5488,2012-05-01 10:17,2012-05-01 10:34,17,0,gsearch,nonbrand,g_ad_1,desktop
162,5654,876,2012-05-01 11:04,2012-05-01 11:20,16,1,NULL,NULL,NULL,desktop
163,5663,4038,2012-05-01 11:49,2012-05-01 12:10,21,1,NULL,NULL,NULL,desktop
164,5705,5539,2012-05-01 16:16,2012-05-01 16:25,9,0,gsearch,nonbrand,g_ad_1,desktop
165,5820,5640,2012-05-02 11:39,2012-05-02 11:50,11,0,gsearch,nonbrand,g_ad_1,mobile
166,5830,5649,2012-05-02 12:36,2012-05-02 12:56,20,0,gsearch,nonbrand,g_ad_1,desktop
167,5870,5688,2012-05-02 16:54,2012-05-02 17:15,21,0,gsearch,nonbrand,g_ad_1,desktop
168,5873,5691,2012-05-02 17:08,2012-05-02 17:24,16,0,NULL,NULL,NULL,desktop
169,5925,3057,2012-05-03 08:54,2012-05-03 09:03,9,1,NULL,NULL,NULL,desktop
170,5927,2617,2012-05-03 09:25,2012-05-03 09:40,15,1,NULL,NULL,NULL,desktop
171,5976,5788,2012-05-03 15:02,2012-05-03 15:19,17,0,gsearch,nonbrand,g_ad_1,desktop
172,5987,5797,2012-05-03 16:05,2012-05-03 16:24,19,0,gsearch,nonbrand,g_ad_1,desktop
173,6017,5824,2012-05-03 23:39,2012-05-03 23:52,13,0,gsearch,nonbrand,g_ad_1,desktop
174,6036,5840,2012-05-04 05:06,2012-05-04 05:22,16,0,gsearch,nonbrand,g_ad_1,desktop
175,6056,5858,2012-05-04 10:11,2012-05-04 10:24,13,0,gsearch,nonbrand,g_ad_1,mobile
176,6123,5918,2012-05-04 16:37,2012-05-04 16:56,19,0,gsearch,nonbrand,g_ad_1,desktop
177,6481,6237,2012-05-08 15:39,2012-05-08 15:59,20,0,gsearch,nonbrand,g_ad_1,desktop
178,6487,6242,2012-05-08 16:09,2012-05-08 16:18,9,0,gsearch,nonbrand,g_ad_1,mobile
179,6536,6288,2012-05-09 00:47,2012-05-09 01:00,13,0,gsearch,nonbrand,g_ad_1,desktop
180,6539,6291,2012-05-09 01:24,2012-05-09 01:40,16,0,gsearch,nonbrand,g_ad_1,desktop
181,6562,6313,2012-05-09 08:49,2012-05-09 09:04,15,0,gsearch,nonbrand,g_ad_1,desktop
182,6571,6322,2012-05-09 10:03,2012-05-09 10:16,13,0,gsearch,nonbrand,g_ad_1,desktop
183,6603,6352,2012-05-09 13:19,2012-05-09 13:36,17,0,gsearch,nonbrand,g_ad_1,desktop
184,6614,2020,2012-05-09 14:43,2012-05-09 14:59,16,1,gsearch,brand,g_ad_2,desktop
185,6629,6374,2012-05-09 16:40,2012-05-09 17:01,21,0,gsearch,nonbrand,g_ad_1,desktop
186,6637,6381,2012-05-09 17:24,2012-05-09 17:41,17,0,gsearch,nonbrand,g_ad_1,desktop
187,6692,6433,2012-05-10 09:33,2012-05-10 09:54,21,0,gsearch,nonbrand,g_ad_1,desktop
188,6765,6500,2012-05-10 18:26,2012-05-10 18:45,19,0,gsearch,nonbrand,g_ad_1,desktop
189,6781,6515,2012-05-10 21:11,2012-05-10 21:29,18,0,gsearch,nonbrand,g_ad_1,desktop
190,6836,6565,2012-05-11 10:49,2012-05-11 11:10,21,0,gsearch,nonbrand,g_ad_1,desktop
191,6889,5115,2012-05-11 14:46,2012-05-11 15:06,20,1,gsearch,brand,g_ad_2,desktop
192,6927,6648,2012-05-11 21:06,2012-05-11 21:20,14,0,gsearch,nonbrand,g_ad_1,desktop
193,6993,6711,2012-05-12 20:27,2012-05-12 20:44,17,0,gsearch,nonbrand,g_ad_1,desktop
194,7018,6732,2012-05-13 08:03,2012-05-13 08:21,18,0,gsearch,nonbrand,g_ad_1,desktop
195,7035,6747,2012-05-13 15:37,2012-05-13 15:56,19,0,gsearch,nonbrand,g_ad_1,desktop
196,7042,6754,2012-05-13 16:51,2012-05-13 17:04,13,0,gsearch,nonbrand,g_ad_1,desktop
197,7140,3659,2012-05-14 18:11,2012-05-14 18:33,22,1,gsearch,brand,g_ad_2,mobile
